year,min,mean,max,scenario
2095,11.745239,19.115082,28.029205,SSP2-4.5
2096,10.271606,19.17395,28.161346,SSP2-4.5
2097,13.36554,20.527252,30.887695,SSP2-4.5
2098,12.549042,20.200653,28.93869,SSP2-4.5
2099,12.692017,20.636658,29.430908,SSP2-4.5
2100,11.505493,19.707825,28.653625,SSP2-4.5
2015,8.646515,17.196442,27.5997,SSP5-8.5
2016,8.628296,16.645264,25.182678,SSP5-8.5
2017,7.513977,17.38446,27.426575,SSP5-8.5
2018,9.003876,17.451233,27.465118,SSP5-8.5
2019,10.1987,16.979736,26.697601,SSP5-8.5
2020,10.547363,18.34082,27.751068,SSP5-8.5
2021,9.192291,17.293274,27.158112,SSP5-8.5
2022,8.356628,17.232666,26.58377,SSP5-8.5
2023,10.094086,17.869537,27.543762,SSP5-8.5
2024,8.685028,18.179626,27.04184,SSP5-8.5
2025,11.821075,18.67926,27.07309,SSP5-8.5
2026,9.484558,18.265137,27.228394,SSP5-8.5
2027,11.285431,17.910767,28.200195,SSP5-8.5
2028,10.097992,18.961609,28.288483,SSP5-8.5
2029,10.057678,17.857239,28.082642,SSP5-8.5
2030,11.130981,18.571442,28.306274,SSP5-8.5
2031,9.924316,18.198975,27.45465,SSP5-8.5
2032,10.296631,18.375305,27.562256,SSP5-8.5
2033,9.515228,17.458069,25.32486,SSP5-8.5
2034,10.831055,18.389038,27.40384,SSP5-8.5
2035,6.8529053,17.206543,26.879211,SSP5-8.5
2036,6.725891,17.704956,27.354675,SSP5-8.5
2037,9.97522,18.053955,28.965424,SSP5-8.5
2038,8.616241,17.562744,26.55307,SSP5-8.5
2039,11.316956,18.617798,26.504242,SSP5-8.5
2040,11.97525,18.804932,27.022003,SSP5-8.5
2041,12.705505,18.9422,26.693726,SSP5-8.5
2042,10.109802,18.69757,28.275421,SSP5-8.5
2043,9.933533,18.472961,27.640808,SSP5-8.5
2044,9.022064,19.009064,27.869843,SSP5-8.5
2045,11.858063,18.965881,29.088928,SSP5-8.5
2046,8.1475525,18.44336,27.053314,SSP5-8.5
2047,9.713348,18.79419,28.547913,SSP5-8.5
2048,10.492157,18.663727,27.310028,SSP5-8.5
2049,9.371674,18.835938,27.613617,SSP5-8.5
2050,8.07074,19.373901,29.013,SSP5-8.5
2051,13.660095,19.793274,27.166138,SSP5-8.5
2052,12.366638,19.884888,27.516724,SSP5-8.5
2053,11.713989,18.9599,26.665985,SSP5-8.5
2054,10.283478,18.458405,27.671387,SSP5-8.5
2055,8.864899,18.718811,26.99533,SSP5-8.5
2056,10.81192,18.884888,29.027313,SSP5-8.5
2057,10.415131,18.79837,26.65918,SSP5-8.5
2058,11.986298,20.585327,30.074799,SSP5-8.5
2059,7.2853394,18.602661,28.41983,SSP5-8.5
2060,11.051392,18.998749,29.493073,SSP5-8.5
2061,12.88324,19.937164,27.34616,SSP5-8.5
2062,8.647095,19.099304,29.35965,SSP5-8.5
2063,10.50473,20.00592,27.619843,SSP5-8.5
2064,9.635712,19.620972,28.637207,SSP5-8.5
2065,11.062653,19.283142,26.928558,SSP5-8.5
2066,12.894989,20.056976,29.530365,SSP5-8.5
2067,13.553009,19.66681,28.322723,SSP5-8.5
2068,12.638641,19.513702,27.650177,SSP5-8.5
2069,12.199646,20.063416,29.469482,SSP5-8.5
2070,13.046234,19.626587,27.434265,SSP5-8.5
2071,12.523407,20.477203,29.042542,SSP5-8.5
2072,10.744873,20.285156,29.986145,SSP5-8.5
2073,12.063293,19.643372,27.845154,SSP5-8.5
2074,13.310242,20.23993,30.532562,SSP5-8.5
2075,13.618134,21.25769,31.351044,SSP5-8.5
2076,14.15567,21.078766,29.115387,SSP5-8.5
2077,11.771851,20.131958,30.304108,SSP5-8.5
2078,9.330505,20.243103,30.072937,SSP5-8.5
2079,8.421997,19.751343,29.79892,SSP5-8.5
2080,11.4591675,20.448853,29.712006,SSP5-8.5
2081,12.758636,20.366028,27.307343,SSP5-8.5
2082,11.40863,21.249237,29.805359,SSP5-8.5
2083,13.042358,21.020935,30.824738,SSP5-8.5
2084,14.319122,21.688293,29.282928,SSP5-8.5
2085,13.875183,20.951843,29.440826,SSP5-8.5
2086,13.549377,20.836609,30.272125,SSP5-8.5
2087,12.008911,19.947632,29.28656,SSP5-8.5
2088,13.4711,21.072266,29.663239,SSP5-8.5
2089,12.9122925,20.686584,29.406006,SSP5-8.5
2090,12.895935,20.755066,30.117615,SSP5-8.5
2091,11.8324585,21.364197,31.69638,SSP5-8.5
2092,15.761475,21.762512,28.94806,SSP5-8.5
2093,12.879852,21.240173,32.059296,SSP5-8.5
2094,15.605713,22.01062,29.668335,SSP5-8.5
2095,17.092926,23.249268,30.987427,SSP5-8.5
2096,12.236816,21.078186,30.840942,SSP5-8.5
2097,13.40979,21.595825,30.521667,SSP5-8.5
2098,13.450806,21.510132,30.29898,SSP5-8.5
2099,13.220032,21.836365,29.412872,SSP5-8.5
2100,13.507751,21.528992,29.979462,SSP5-8.5
